dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_runs,n_training_seeds,n_graph_seeds,n_seed_cells,ci_method,source
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,pmp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.5089888944892931,0.010992198191175263,0.5006359780768019,0.5180073530150406,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,pmp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.48547024321396287,0.008280604460732994,0.47888145337682564,0.4909524554801389,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.45104574600768627,0.028436244023018593,0.4290106928530847,0.47245757288471096,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,secgfd,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.4410100070804708,0.02950742613351063,0.4172154343086876,0.46477806147325024,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,secgfd,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.4360739107612736,0.028204139653241977,0.41314345198615277,0.45871328008004975,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6582643139773169,0.01810777845313724,0.641941533044603,0.6672277752551701,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6582643139773169,0.017072177248582662,0.641941533044603,0.6672114137952395,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,mlp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6582643139773169,0.017072177248582662,0.641941533044603,0.6672114137952395,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6706504896075932,0.0034652203515956703,0.6679241139543695,0.6730677967397527,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,sage,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6662861771562764,0.002719553507897839,0.6640284776871052,0.6682803454643691,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
