split_regime_id,train_size,val_size,test_size,dataset_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_splits,min_paired_training_seeds_per_split,min_graph_seeds_per_split,ci_method
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.45212708842776705,0.0016750860267174402,0.45104574600768627,0.4540566214469175,0.4429112339392451,0.0068269308345163225,0.4360739107612736,0.44972772475278733,0.009215854488522048,0.005374424242673031,0.004328896694130152,0.01497183524641269,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6754057891957593,0.0025681276060250816,0.6736884583885713,0.6783581022714417,0.6726416774916372,0.0019774133247394423,0.6704676140260429,0.674333067969331,0.002764111704122126,0.0019120428854067205,0.000564107909033551,0.00402503430211032,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.8011457561582537,0.0016285610614605228,0.7998226116504265,0.8029645568206764,0.7968610957819595,0.0018137907203515972,0.7947667530900521,0.7979198124245399,0.004284660376294262,0.001326140932253462,0.002753378172372157,0.005055858560374183,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,average_precision,0.3,False,non_oracle_controlled_stress,True,0.4497688826157887,0.00459049103713546,0.4456039405696373,0.45469081684098045,0.4593914433194386,0.004643828530882692,0.45608766780988574,0.4647010549513138,-0.009622560703649892,0.006539850594251853,-0.0156891645145656,-0.00269479035613559,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6745586040730145,0.002368589455694476,0.6725465837860035,0.6771689978312204,0.6817454650507292,0.0057531330046764455,0.6768340804256868,0.6880750785250928,-0.007186860977714618,0.004048904097514637,-0.010906080693872435,-0.0028738498238673137,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7998821460312574,0.003050446903509094,0.7964928142378684,0.8024072026834824,0.806536194493015,0.005268746729427892,0.8024816587706715,0.8124915976823083,-0.0066540484617577484,0.0031508560165993244,-0.010084394998826195,-0.003888905853644009,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.4060183289392887,0.005707179290994764,0.39992793265853593,0.41124348128035465,0.40601832893928874,0.005707179290994844,0.3999279326585359,0.41124348128035476,0.0,0.0,0.0,0.0,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6538326159046216,0.004060001895576253,0.6502925106481887,0.6582643139773169,0.6538326159046216,0.004060001895576253,0.6502925106481887,0.6582643139773169,0.0,0.0,0.0,0.0,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7823719533628771,0.004440726318102569,0.7797431422795956,0.7874991091518592,0.7823719533628771,0.004440726318102666,0.7797431422795956,0.7874991091518592,0.0,0.0,0.0,0.0,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.4060183289392887,0.005707179290994764,0.39992793265853593,0.41124348128035465,0.40601832893928874,0.005707179290994844,0.3999279326585359,0.41124348128035476,0.0,0.0,0.0,0.0,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.6538326159046216,0.004060001895576253,0.6502925106481887,0.6582643139773169,0.6538326159046216,0.004060001895576253,0.6502925106481887,0.6582643139773169,0.0,0.0,0.0,0.0,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.7823719533628771,0.004440726318102569,0.7797431422795956,0.7874991091518592,0.7823719533628771,0.004440726318102666,0.7797431422795956,0.7874991091518592,0.0,0.0,0.0,0.0,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.5552613216133242,0.002669828395410064,0.5522394269132922,0.5573005662067334,0.38230728552681525,0.006017761515455681,0.3753585742593924,0.3857851693884138,0.17295403608650886,0.003440973522869273,0.17046585878730713,0.17688085265389977,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7174531815578268,0.0006039508497571604,0.7168199074913527,0.7180227604746475,0.6408251762797529,0.0024941769112149723,0.6384915969092365,0.6434537196910413,0.07662800527807388,0.0022472998896480483,0.07456904078360624,0.07902527979824367,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.8456095121048636,0.0008522075206968861,0.8451136884200032,0.8465935467722904,0.7629772226645234,0.00156829362537447,0.7611667921635089,0.7639185065459713,0.08263228944034029,0.0013441049097137467,0.08126731913591351,0.08395450895878813,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,pmp,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.5552613216133242,0.002669828395410064,0.5522394269132922,0.5573005662067334,0.6124350606711096,0.008973225379074858,0.602076006241481,0.6178050273688724,-0.05717373905778562,0.0101921335854894,-0.06556560045558021,-0.04583203452153419,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,pmp,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.7174531815578268,0.0006039508497571604,0.7168199074913527,0.7180227604746475,0.753043885122124,0.005382084688520487,0.746834355457343,0.7563680618982681,-0.03559070356429712,0.004829295407209956,-0.038412361303280476,-0.030014447965990527,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,pmp,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.8456095121048636,0.0008522075206968861,0.8451136884200032,0.8465935467722904,0.8916338287497053,0.003918678050114088,0.8871733838680834,0.8945231120784142,-0.04602431664484167,0.003441005854637069,-0.04809130188261459,-0.0420520827457864,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,sage,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.39821984499025387,0.027049927016352417,0.38179236868125566,0.42944014890711674,0.36392846033383375,0.016072035210551814,0.34911236310280563,0.38101497798839307,0.034291384656420086,0.013400954039389368,0.021768977472086493,0.04842517091872373,3,5,2,split_bootstrap_over_split_means
