dataset_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,source
yelpchi,camouflage_relation_oracle,0.15,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.7179520192831625,0.0,0.7179520192831625,0.7179520192831625,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.8491436150579443,0.0,0.8491436150579443,0.8491436150579443,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.5552203226155087,0.0,0.5552203226155087,0.5552203226155087,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.7190103950597648,0.0,0.7190103950597648,0.7190103950597648,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.8463191123481145,0.0,0.8463191123481145,0.8463191123481145,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.42694597497253856,0.0,0.42694597497253856,0.42694597497253856,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.669703864954839,0.0,0.669703864954839,0.669703864954839,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7908886473806461,0.0,0.7908886473806461,0.7908886473806461,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.3291626181470558,0.0,0.3291626181470558,0.3291626181470558,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6212445209430274,0.0,0.6212445209430274,0.6212445209430274,1,3,2,split_bootstrap_over_split_means,scenario
