dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,average_precision,False,non_oracle_controlled_stress,True,0.10617572455884576,0.0,0.10617572455884576,0.10617572455884576,0.35391908186281923,0.0,0.35391908186281923,0.35391908186281923,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,f1_macro,False,non_oracle_controlled_stress,True,0.18921864289281584,0.0,0.18921864289281584,0.18921864289281584,0.6307288096427194,0.0,0.6307288096427194,0.6307288096427194,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,roc_auc,False,non_oracle_controlled_stress,True,0.22076978944113426,0.0,0.22076978944113426,0.22076978944113426,0.7358992981371143,0.0,0.7358992981371143,0.7358992981371143,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.1398487202304678,0.0,0.1398487202304678,0.1398487202304678,0.46616240076822607,0.0,0.46616240076822607,0.46616240076822607,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.20597259450906283,0.0,0.20597259450906283,0.20597259450906283,0.6865753150302094,0.0,0.6865753150302094,0.6865753150302094,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.24310436421144788,0.0,0.24310436421144788,0.24310436421144788,0.8103478807048264,0.0,0.8103478807048264,0.8103478807048264,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,average_precision,False,non_oracle_controlled_stress,True,0.1426824354745385,0.0,0.1426824354745385,0.1426824354745385,0.47560811824846166,0.0,0.47560811824846166,0.47560811824846166,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,f1_macro,False,non_oracle_controlled_stress,True,0.20743094213788346,0.0,0.20743094213788346,0.20743094213788346,0.6914364737929449,0.0,0.6914364737929449,0.6914364737929449,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,roc_auc,False,non_oracle_controlled_stress,True,0.2446616730559216,0.0,0.2446616730559216,0.2446616730559216,0.8155389101864055,0.0,0.8155389101864055,0.8155389101864055,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,2,split_bootstrap_over_split_means
