dataset_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_splits,min_paired_training_seeds_per_split,min_graph_seeds_per_split,ci_method
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.7175585036410933,0.0,0.7175585036410933,0.7175585036410933,0.0021054203002747185,0.0,0.0021054203002747185,0.0021054203002747185,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.84603770914129,0.0,0.84603770914129,0.84603770914129,0.00315606773342314,0.0,0.00315606773342314,0.00315606773342314,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.42708999760200883,0.0,0.42708999760200883,0.42708999760200883,0.42682665538272274,0.0,0.42682665538272274,0.42682665538272274,0.0002633422192860335,0.0,0.0002633422192860335,0.0002633422192860335,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6697122615898071,0.0,0.6697122615898071,0.6697122615898071,0.6695241861016011,0.0,0.6695241861016011,0.6695241861016011,0.0001880754882059854,0.0,0.0001880754882059854,0.0001880754882059854,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7909852512071072,0.0,0.7909852512071072,0.7909852512071072,0.7907692106081878,0.0,0.7907692106081878,0.7907692106081878,0.00021604059891927596,0.0,0.00021604059891927596,0.00021604059891927596,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.42954172678053837,0.0,0.42954172678053837,0.42954172678053837,0.390588980021428,0.0,0.390588980021428,0.390588980021428,0.038952746759110396,0.0,0.038952746759110396,0.038952746759110396,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.6708279503970965,0.0,0.6708279503970965,0.6708279503970965,0.6492688942164029,0.0,0.6492688942164029,0.6492688942164029,0.02155905618069352,0.0,0.02155905618069352,0.02155905618069352,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.7917030310560143,0.0,0.7917030310560143,0.7917030310560143,0.7618980768573597,0.0,0.7618980768573597,0.7618980768573597,0.029804954198654626,0.0,0.029804954198654626,0.029804954198654626,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.47551589125343435,0.0,0.47551589125343435,0.47551589125343435,0.47597699323536186,0.0,0.47597699323536186,0.47597699323536186,-0.00046110198192745683,0.0,-0.00046110198192745683,-0.00046110198192745683,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6896884499828166,0.0,0.6896884499828166,0.6896884499828166,0.6902540219145298,0.0,0.6902540219145298,0.6902540219145298,-0.000565571931713286,0.0,-0.000565571931713286,-0.000565571931713286,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.8140815809826377,0.0,0.8140815809826377,0.8140815809826377,0.8143417550877116,0.0,0.8143417550877116,0.8143417550877116,-0.00026017410507393296,0.0,-0.00026017410507393296,-0.00026017410507393296,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.4709483353668929,0.0,0.4709483353668929,0.4709483353668929,0.4719988223753278,0.0,0.4719988223753278,0.4719988223753278,-0.0010504870084348805,0.0,-0.0010504870084348805,-0.0010504870084348805,1,3,2,split_bootstrap_over_split_means
