dataset_id,scenario_id,severity,protocol,audit_metric,audit_metric_label,audit_metric_unit,oracle_labels,claim_scope,operational_ranking_eligible,graph_view_mode,mean,std,ci_lower,ci_upper,n_splits,min_graph_seeds_per_split,ci_method,source
yelpchi,clean,0.0,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,split_bootstrap_over_split_means,clean
yelpchi,clean,0.0,train_clean_eval_all,realized_change,Realized change,none,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,split_bootstrap_over_split_means,clean
yelpchi,clean,0.0,train_clean_eval_all,requested_change,Requested change,none,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,split_bootstrap_over_split_means,clean
yelpchi,clean,0.0,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,1,split_bootstrap_over_split_means,clean
yelpchi,clean,0.0,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,1,split_bootstrap_over_split_means,clean
yelpchi,clean,0.0,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,split_bootstrap_over_split_means,clean
yelpchi,clean,0.0,train_on_variant,realized_change,Realized change,none,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,split_bootstrap_over_split_means,clean
yelpchi,clean,0.0,train_on_variant,requested_change,Requested change,none,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,split_bootstrap_over_split_means,clean
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22988020142713989,0.0,0.22988020142713989,0.22988020142713989,1,2,split_bootstrap_over_split_means,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,1,2,split_bootstrap_over_split_means,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.0030001808392830648,0.0,0.0030001808392830648,0.0030001808392830648,1,2,split_bootstrap_over_split_means,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,n_rewired_edges_actual,Rewired edges,edges,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,2,split_bootstrap_over_split_means,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,realized_change,Realized change,edges_changed,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,2,split_bootstrap_over_split_means,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,requested_change,Requested change,edges_selected,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,2,split_bootstrap_over_split_means,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22988020142713989,0.0,0.22988020142713989,0.22988020142713989,1,2,split_bootstrap_over_split_means,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,1,2,split_bootstrap_over_split_means,scenario
