dataset_id,split_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_clean_runs,n_max_runs
yelpchi,s0,camouflage_feature_oracle,sage,train_clean_eval_all,f1_macro,0.3,True,0.6708474707363034,0.005838419786779025,0.6647939557802494,0.6764439291919299,0.625476264240637,0.00580620244866485,0.6211706327932626,0.6294377504825799,0.045371206495666394,0.003548824907139719,0.038483216567432796,0.05202132746544395,3,6
yelpchi,s0,camouflage_feature_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,0.665228898659338,0.004573033340657788,0.6619332483719808,0.6687322362889668,0.054435025282030036,0.001940613582889467,0.050552419945434926,0.058207477133568886,3,6
yelpchi,s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,f1_macro,0.3,True,0.6890827928071466,0.0033915183002178237,0.6853141225973655,0.6918892125166929,0.6412680832203002,0.0035997694720294854,0.6387199740660473,0.643816192374553,0.047814709586846416,0.002052638670586823,0.04377927597140753,0.05165496988518499,3,6
yelpchi,s0,camouflage_relation_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,0.7812706633893618,0.025744241966935887,0.7645264143301991,0.7980149124485245,0.0,0.016581382061336334,-0.03323272069023864,0.03323272069023864,3,6
yelpchi,s0,camouflage_relation_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,0.7921178272591782,0.007750399336005183,0.7833336675998815,0.7979923355618194,0.7918919472346041,0.0069484628328455025,0.7869995930523119,0.7967777689275217,0.00022588002457413214,0.004615625626755205,-0.010018441668089451,0.008066279371628463,3,6
yelpchi,s0,camouflage_relation_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,0.8499097881280463,0.0036865353824062377,0.8473530023551422,0.8524598389460895,-0.0007160112533333152,0.002263720601537859,-0.005273642446681132,0.00339401559422525,3,6
yelpchi,s0,camouflage_relation_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,0.8137073493351891,0.0033135546661232375,0.80989180387316,0.8158618083969534,0.8139618583765512,0.002877675956529962,0.8120405025933368,0.815866561323874,-0.0002545090413621498,0.0018961267440901416,-0.004096447368278933,0.0033886028183893295,3,6
yelpchi,s0,camouflage_relation_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,0.39937979216947617,0.04891149841154306,0.3674337139113635,0.43132587042758885,0.0,0.031495276208567,-0.06313069778843666,0.06313069778843666,3,6
yelpchi,s0,camouflage_relation_oracle,sage,train_clean_eval_all,average_precision,0.3,True,0.4299337735979076,0.015922581453379436,0.4117661955739737,0.4414635658187256,0.4296649755734044,0.014274198956887672,0.41977499174336586,0.4395531822643763,0.0002687980245031918,0.009485541884681354,-0.020302638620467016,0.016740627702740027,3,6
yelpchi,s0,camouflage_relation_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,0.5684362323347804,0.014994058487185841,0.5573597224222095,0.5786996917853101,-0.0007109685477955097,0.00842965221420228,-0.01797673796344344,0.015878840626022114,3,6
yelpchi,s0,camouflage_relation_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,0.47357763672427805,0.0030266330611615523,0.47055078915856036,0.47660405523526644,0.47405218594736026,0.002587477455796123,0.4721225746840546,0.4759635891954875,-0.00047454922308221015,0.0017058558331842517,-0.003952680776016848,0.002550375468712067,3,6
yelpchi,s0,camouflage_relation_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6531843309265226,0.02107265133095037,0.6395683789326522,0.6668002829203931,0.0,0.013579230163254427,-0.027204634887856516,0.027191341201662993,3,6
