dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,mean,std,ci_lower,ci_upper,n_runs,source
yelpchi,s0,heterophily_rewire_nonoracle,0.15,pmp,train_clean_eval_all,f1_macro,False,0.6992997586842612,0.004684207668749047,0.6957234363617104,0.7025744225402105,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,pmp,train_clean_eval_all,f1_macro,False,0.6828177749769498,0.00873407772819326,0.676843773022494,0.6893171812296152,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,f1_macro,False,0.6890827928071466,0.0033915183002178237,0.6853141225973655,0.6918892125166929,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,secgfd,train_clean_eval_all,f1_macro,False,0.68679642711006,0.0029915810656160236,0.6847931135076886,0.6888971781951114,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,secgfd,train_clean_eval_all,f1_macro,False,0.6850423181099307,0.0038064941152754273,0.6824473208014892,0.6877593953596488,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,roc_auc,True,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,mlp,train_clean_eval_all,roc_auc,True,0.7416447555341201,0.022837814869455447,0.724581706701795,0.7577560130721087,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,roc_auc,True,0.6986283487315084,0.01897921222813504,0.6837482033768513,0.7120735854538377,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,sage,train_clean_eval_all,roc_auc,True,0.7921178272591782,0.007750399336005183,0.7833336675998815,0.7979923355618194,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,roc_auc,True,0.7522353321139036,0.009160923437559271,0.7459314103939525,0.7586631450455124,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,roc_auc,True,0.708126709364494,0.00811821768949481,0.7024386170894272,0.7138197296892024,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,pmp,train_clean_eval_all,roc_auc,True,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,roc_auc,True,0.8064787439187308,0.0059454485816466136,0.802584788734649,0.8102998278539187,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,roc_auc,True,0.7631364609757063,0.005610867064866792,0.7594034565241335,0.766720340267149,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,secgfd,train_clean_eval_all,roc_auc,True,0.8137073493351891,0.0033135546661232375,0.80989180387316,0.8158618083969534,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,roc_auc,True,0.7695346085451297,0.008008045625953314,0.7641434808848602,0.7749698520950715,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,roc_auc,True,0.7237373362999052,0.006308289146988603,0.7193974290472008,0.7280855466225136,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,average_precision,True,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,mlp,train_clean_eval_all,average_precision,True,0.3612137698106763,0.04162051790876593,0.33094227746797406,0.389508415696758,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,average_precision,True,0.31697205988075333,0.03519479217801002,0.29179460321857237,0.34129630273609596,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,sage,train_clean_eval_all,average_precision,True,0.4299337735979076,0.015922581453379436,0.4117661955739737,0.4414635658187256,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,average_precision,True,0.38770694344927886,0.014628193382825656,0.37710185896798604,0.3985271186449881,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,average_precision,True,0.3372433239302628,0.012909335920081914,0.3274618943736453,0.34647236582157165,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,pmp,train_clean_eval_all,average_precision,True,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,average_precision,True,0.5126851280227783,0.010809321268421625,0.5049405257423413,0.5201010835869584,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,average_precision,True,0.4471068248245944,0.011605336250698652,0.4383343180678046,0.45458678928248497,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,secgfd,train_clean_eval_all,average_precision,True,0.47357763672427805,0.0030266330611615523,0.47055078915856036,0.47660405523526644,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,average_precision,True,0.42796639171933387,0.00820314261286003,0.42257568400788587,0.4333570994307818,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,average_precision,True,0.3714411216818621,0.005325794809639609,0.36782283379019315,0.37513722416305995,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,f1_macro,True,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,mlp,train_clean_eval_all,f1_macro,True,0.6348070088510053,0.01851044321928083,0.6214886151784853,0.6475321709081322,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,f1_macro,True,0.6125329397078096,0.01603133498227491,0.6013188632554879,0.6233641680325241,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,sage,train_clean_eval_all,f1_macro,True,0.6708474707363034,0.005838419786779025,0.6647939557802494,0.6764439291919299,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,f1_macro,True,0.6498545242276421,0.006530013459465068,0.645261917538119,0.6546293269206441,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,f1_macro,True,0.625476264240637,0.00580620244866485,0.6211706327932626,0.6294377504825799,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,pmp,train_clean_eval_all,f1_macro,True,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,f1_macro,True,0.6954209554808578,0.0036045515855645995,0.6928527240312018,0.6978628256744981,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,f1_macro,True,0.665228898659338,0.004573033340657788,0.6619332483719808,0.6687322362889668,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.0,secgfd,train_clean_eval_all,f1_macro,True,0.6890827928071466,0.0033915183002178237,0.6853141225973655,0.6918892125166929,3,clean
yelpchi,s0,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,f1_macro,True,0.6676925206140104,0.004577288686695056,0.6645959501877504,0.6709359471284378,6,scenario
yelpchi,s0,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,f1_macro,True,0.6412680832203002,0.0035997694720294854,0.6387199740660473,0.643816192374553,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,roc_auc,True,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,3,clean
yelpchi,s0,camouflage_relation_oracle,0.15,mlp,train_clean_eval_all,roc_auc,True,0.7812706633893618,0.025744241966935887,0.7645264143301991,0.7980149124485245,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,mlp,train_clean_eval_all,roc_auc,True,0.7812706633893618,0.025744241966935887,0.7645264143301991,0.7980149124485245,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,sage,train_clean_eval_all,roc_auc,True,0.7921178272591782,0.007750399336005183,0.7833336675998815,0.7979923355618194,3,clean
yelpchi,s0,camouflage_relation_oracle,0.15,sage,train_clean_eval_all,roc_auc,True,0.7920190002822766,0.006941012525057652,0.7871243916864908,0.7969030116955498,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,sage,train_clean_eval_all,roc_auc,True,0.7918919472346041,0.0069484628328455025,0.7869995930523119,0.7967777689275217,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,pmp,train_clean_eval_all,roc_auc,True,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,3,clean
yelpchi,s0,camouflage_relation_oracle,0.15,pmp,train_clean_eval_all,roc_auc,True,0.8491436150579443,0.0027850564845629698,0.8472323490033047,0.8510940592263314,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,pmp,train_clean_eval_all,roc_auc,True,0.8499097881280463,0.0036865353824062377,0.8473530023551422,0.8524598389460895,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,secgfd,train_clean_eval_all,roc_auc,True,0.8137073493351891,0.0033135546661232375,0.80989180387316,0.8158618083969534,3,clean
yelpchi,s0,camouflage_relation_oracle,0.15,secgfd,train_clean_eval_all,roc_auc,True,0.813816353180223,0.0029244204502433925,0.811856771119167,0.8157700363001561,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,secgfd,train_clean_eval_all,roc_auc,True,0.8139618583765512,0.002877675956529962,0.8120405025933368,0.815866561323874,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,average_precision,True,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,3,clean
yelpchi,s0,camouflage_relation_oracle,0.15,mlp,train_clean_eval_all,average_precision,True,0.39937979216947617,0.04891149841154306,0.3674337139113635,0.43132587042758885,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,mlp,train_clean_eval_all,average_precision,True,0.39937979216947617,0.04891149841154306,0.3674337139113635,0.43132587042758885,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,sage,train_clean_eval_all,average_precision,True,0.4299337735979076,0.015922581453379436,0.4117661955739737,0.4414635658187256,3,clean
yelpchi,s0,camouflage_relation_oracle,0.15,sage,train_clean_eval_all,average_precision,True,0.42978188794388,0.014271111396744566,0.41987285910841904,0.4396908452077349,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,sage,train_clean_eval_all,average_precision,True,0.4296649755734044,0.014274198956887672,0.41977499174336586,0.4395531822643763,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,pmp,train_clean_eval_all,average_precision,True,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,3,clean
yelpchi,s0,camouflage_relation_oracle,0.15,pmp,train_clean_eval_all,average_precision,True,0.5652118779477563,0.014603828010347233,0.554103691626337,0.5752134969710855,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,pmp,train_clean_eval_all,average_precision,True,0.5684362323347804,0.014994058487185841,0.5573597224222095,0.5786996917853101,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,secgfd,train_clean_eval_all,average_precision,True,0.47357763672427805,0.0030266330611615523,0.47055078915856036,0.47660405523526644,3,clean
yelpchi,s0,camouflage_relation_oracle,0.15,secgfd,train_clean_eval_all,average_precision,True,0.4737960672472732,0.0026665223426233006,0.4718161726077407,0.4757831570370404,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,secgfd,train_clean_eval_all,average_precision,True,0.47405218594736026,0.002587477455796123,0.4721225746840546,0.4759635891954875,6,scenario
yelpchi,s0,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,f1_macro,True,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,3,clean
