dataset_id,split_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,min_n_runs_per_severity
yelpchi,s0,heterophily_rewire_oracle,sage,train_on_variant,roc_auc,True,0.2498346303589994,0.0032360813282116445,0.24266067241193842,0.25416338826536594,0.8327821011966646,0.010786937760705485,0.8088689080397947,0.8472112942178865,3
yelpchi,s0,heterophily_rewire_oracle,pmp,train_on_variant,roc_auc,True,0.2617158803494716,0.0006426608317582545,0.26046428064137683,0.2629842107930468,0.8723862678315719,0.0021422027725275135,0.8682142688045895,0.8766140359768227,3
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_on_variant,roc_auc,True,0.28542862830776206,0.0002663013503373022,0.28486899789278686,0.2858983591562777,0.9514287610258736,0.000887671167791007,0.9495633263092895,0.9529945305209258,3
yelpchi,s0,heterophily_rewire_oracle,mlp,train_on_variant,average_precision,True,0.11981393765084285,0.003685234815723423,0.11271173414964372,0.1268875864497499,0.39937979216947617,0.01228411605241141,0.3757057804988124,0.42295862149916635,3
yelpchi,s0,heterophily_rewire_oracle,sage,train_on_variant,average_precision,True,0.15188576891666983,0.005862545488512276,0.1389084212084254,0.16011614220642997,0.5062858963888994,0.01954181829504092,0.4630280706947514,0.5337204740214332,3
yelpchi,s0,heterophily_rewire_oracle,pmp,train_on_variant,average_precision,True,0.17492524748578445,0.001726932979974699,0.17154486316384873,0.17833025462484212,0.5830841582859482,0.00575644326658233,0.5718162105461625,0.5944341820828071,3
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_on_variant,average_precision,True,0.25880820728660875,0.0006736269115523466,0.2575410078429272,0.2599958533098104,0.8626940242886959,0.002245423038507821,0.8584700261430909,0.8666528443660347,3
yelpchi,s0,heterophily_rewire_oracle,mlp,train_on_variant,f1_macro,True,0.19595529927795677,0.0015884970215316108,0.19289372969704613,0.19901377552034932,0.6531843309265226,0.005294990071772036,0.6429790989901539,0.6633792517344977,3
yelpchi,s0,heterophily_rewire_oracle,sage,train_on_variant,f1_macro,True,0.21111134131727832,0.0024927009289625796,0.20562226523663116,0.21460065286841035,0.7037044710575945,0.008309003096541933,0.6854075507887705,0.7153355095613679,3
yelpchi,s0,heterophily_rewire_oracle,pmp,train_on_variant,f1_macro,True,0.22145395351480152,0.0007002628041958517,0.22019036365195546,0.2228500697664987,0.7381798450493384,0.0023342093473195068,0.7339678788398516,0.742833565888329,3
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_on_variant,f1_macro,True,0.27374447626607495,0.0007982783763331945,0.2721179511242822,0.27520093989132033,0.9124815875535832,0.00266092792111065,0.9070598370809408,0.9173364663044011,3
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_on_variant,roc_auc,False,0.23438119901680854,0.001940017183535165,0.23064251793915666,0.23811028844090715,0.7812706633893618,0.006466723945117217,0.7688083931305222,0.7937009614696905,3
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_on_variant,roc_auc,False,0.22072503161677218,0.005425686092562677,0.2101231808691898,0.23128155866756653,0.7357501053892406,0.018085620308542258,0.7004106028972994,0.7709385288918884,3
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_on_variant,roc_auc,False,0.251734943130065,0.00038997900885392377,0.25091283594100744,0.25245992932980904,0.8391164771002168,0.0012999300295130811,0.8363761198033581,0.8415330977660301,3
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_on_variant,roc_auc,False,0.2447390038552763,0.0006080541886239544,0.24362570737570327,0.2458585938330704,0.8157966795175877,0.0020268472954131814,0.8120856912523443,0.8195286461102347,3
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_on_variant,average_precision,False,0.11981393765084285,0.003685234815723423,0.11271173414964372,0.1268875864497499,0.39937979216947617,0.01228411605241141,0.3757057804988124,0.42295862149916635,3
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_on_variant,average_precision,False,0.10596965173555084,0.0067190397756255295,0.09336414210802067,0.11879398823591562,0.35323217245183613,0.022396799252085098,0.31121380702673557,0.3959799607863855,3
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_on_variant,average_precision,False,0.16003354516763746,0.001501755383478015,0.15721472537089434,0.16278742268524807,0.5334451505587916,0.00500585127826005,0.5240490845696478,0.5426247422841602,3
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_on_variant,average_precision,False,0.14284817588910032,0.0011577754125207827,0.1406888367384179,0.1450406539008189,0.4761605862970011,0.0038592513750692753,0.4689627891280597,0.4834688463360631,3
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_on_variant,f1_macro,False,0.19595529927795677,0.0015884970215316108,0.19289372969704613,0.19901377552034932,0.6531843309265226,0.005294990071772036,0.6429790989901539,0.6633792517344977,3
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_on_variant,f1_macro,False,0.18902115820695725,0.003367368225984977,0.18274266556737775,0.19550193034336366,0.6300705273565242,0.011224560753283255,0.6091422185579259,0.6516731011445456,3
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_on_variant,f1_macro,False,0.2127802466797992,0.0003775956473221812,0.21200000363803984,0.21345912376356713,0.709267488932664,0.001258652157740603,0.7066666787934661,0.7115304125452238,3
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_on_variant,f1_macro,False,0.207686507430719,0.0006931537695048591,0.20640645319587564,0.20901567458362352,0.6922883581023968,0.0023105125650161964,0.6880215106529189,0.6967189152787451,3
yelpchi,s0,camouflage_feature_oracle,mlp,train_on_variant,roc_auc,True,0.22193070614554686,0.001658171610021828,0.21852854156857016,0.2250335178598319,0.7397690204851562,0.0055272387000727605,0.7284284718952339,0.7501117261994397,3
yelpchi,s0,camouflage_feature_oracle,sage,train_on_variant,roc_auc,True,0.2199168796107346,0.004109591575375828,0.21116920100780057,0.22622163334597867,0.7330562653691154,0.013698638584586094,0.7038973366926685,0.7540721111532622,3
yelpchi,s0,camouflage_feature_oracle,pmp,train_on_variant,roc_auc,True,0.2409774205070479,0.0006772724355077382,0.23962528219594853,0.24222246363460825,0.8032580683568263,0.0022575747850257944,0.7987509406531618,0.807408212115361,3
yelpchi,s0,camouflage_feature_oracle,secgfd,train_on_variant,roc_auc,True,0.2326206288177845,0.0008681117922516655,0.2309537365410472,0.23439255264858913,0.7754020960592817,0.0028937059741722193,0.7698457884701574,0.7813085088286305,3
yelpchi,s0,camouflage_feature_oracle,mlp,train_on_variant,average_precision,True,0.10759759268159014,0.0030340025248956474,0.10140252518133017,0.1133256638558506,0.35865864227196714,0.010113341749652158,0.33800841727110054,0.3777522128528354,3
yelpchi,s0,camouflage_feature_oracle,sage,train_on_variant,average_precision,True,0.10852279392092487,0.0050504315946354045,0.09776807728599303,0.11637855826151748,0.3617426464030829,0.016834771982118014,0.3258935909533101,0.3879285275383916,3
yelpchi,s0,camouflage_feature_oracle,pmp,train_on_variant,average_precision,True,0.14885662345226192,0.0011331612807584542,0.14655139028039157,0.15091461558465805,0.49618874484087305,0.00377720426919485,0.48850463426797197,0.5030487186155268,3
yelpchi,s0,camouflage_feature_oracle,secgfd,train_on_variant,average_precision,True,0.1282913496842689,0.001311314511291904,0.12577221860703414,0.13085607140250136,0.4276378322808963,0.004371048370973014,0.41924072869011386,0.43618690467500454,3
yelpchi,s0,camouflage_feature_oracle,mlp,train_on_variant,f1_macro,True,0.19040979480528425,0.0014248435001098809,0.1874872959651824,0.1930721425775201,0.6346993160176142,0.004749478333699602,0.6249576532172747,0.6435738085917336,3
yelpchi,s0,camouflage_feature_oracle,sage,train_on_variant,f1_macro,True,0.19070218950896262,0.0027920721946176692,0.18477141126617702,0.19493451748903082,0.6356739650298754,0.00930690731539223,0.6159047042205901,0.6497817249634361,3
yelpchi,s0,camouflage_feature_oracle,pmp,train_on_variant,f1_macro,True,0.20792086921754976,0.00046359088049892437,0.20700797326991824,0.20886130073247303,0.6930695640584993,0.0015453029349964138,0.6900265775663942,0.69620433577491,3
yelpchi,s0,camouflage_feature_oracle,secgfd,train_on_variant,f1_macro,True,0.19999671689787557,0.0007519122153036129,0.1985205340285694,0.20151054270246732,0.6666557229929186,0.0025063740510120427,0.6617351134285646,0.6717018090082245,3
yelpchi,s0,camouflage_relation_oracle,mlp,train_on_variant,roc_auc,True,0.23438119901680854,0.001940017183535165,0.23064251793915666,0.23811028844090715,0.7812706633893618,0.006466723945117217,0.7688083931305222,0.7937009614696905,3
yelpchi,s0,camouflage_relation_oracle,sage,train_on_variant,roc_auc,True,0.22529976161594517,0.004848643813036158,0.21579021902379888,0.2346293130269819,0.7509992053864839,0.01616214604345386,0.7193007300793296,0.7820977100899397,3
