dataset_id,scenario_id,severity,protocol,audit_metric,audit_metric_label,audit_metric_unit,oracle_labels,graph_view_mode,mean,std,ci_lower,ci_upper,n_splits,source
yelpchi,heterophily_rewire_nonoracle,0.3,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,False,heterograph_aware_generation,0.23198102976048235,0.0,0.23198102976048235,0.23198102976048235,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.3,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,False,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.3,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,False,heterograph_aware_generation,0.005101009172625515,0.0,0.005101009172625515,0.005101009172625515,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.3,train_on_variant,n_rewired_edges_actual,Rewired edges,edges,False,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.3,train_on_variant,realized_change,Realized change,edges_changed,False,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.3,train_on_variant,requested_change,Requested change,edges_selected,False,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,True,heterograph_aware_generation,0.34292015448841606,0.0,0.34292015448841606,0.34292015448841606,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,True,heterograph_aware_generation,0.11604013390055926,0.0,0.11604013390055926,0.11604013390055926,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_clean_eval_all,n_rewired_edges_actual,Rewired edges,edges,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_clean_eval_all,realized_change,Realized change,edges_changed,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_clean_eval_all,requested_change,Requested change,edges_selected,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,True,heterograph_aware_generation,0.34292015448841606,0.0,0.34292015448841606,0.34292015448841606,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,True,heterograph_aware_generation,0.11604013390055926,0.0,0.11604013390055926,0.11604013390055926,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_on_variant,n_rewired_edges_actual,Rewired edges,edges,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_on_variant,realized_change,Realized change,edges_changed,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.15,train_on_variant,requested_change,Requested change,edges_selected,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,True,heterograph_aware_generation,0.45874498282772025,0.0,0.45874498282772025,0.45874498282772025,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,1,scenario
