dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,f1_macro,True,0.20123368546846832,0.0,0.20123368546846832,0.20123368546846832,0.6707789515615611,0.0,0.6707789515615611,0.6707789515615611,1
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,roc_auc,True,0.23760358312937516,0.0,0.23760358312937516,0.23760358312937516,0.7920119437645838,0.0,0.7920119437645838,0.7920119437645838,1
yelpchi,camouflage_relation_oracle,sage,train_on_variant,average_precision,True,0.11084285441752799,0.0,0.11084285441752799,0.11084285441752799,0.36947618139176,0.0,0.36947618139176,0.36947618139176,1
yelpchi,camouflage_relation_oracle,sage,train_on_variant,f1_macro,True,0.19226245348205323,0.0,0.19226245348205323,0.19226245348205323,0.6408748449401774,0.0,0.6408748449401774,0.6408748449401774,1
yelpchi,camouflage_relation_oracle,sage,train_on_variant,roc_auc,True,0.22529976161594517,0.0,0.22529976161594517,0.22529976161594517,0.7509992053864839,0.0,0.7509992053864839,0.7509992053864839,1
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,average_precision,True,0.14214164678746385,0.0,0.14214164678746385,0.14214164678746385,0.4738054892915462,0.0,0.4738054892915462,0.4738054892915462,1
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,f1_macro,True,0.20676125909046672,0.0,0.20676125909046672,0.20676125909046672,0.6892041969682224,0.0,0.6892041969682224,0.6892041969682224,1
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,roc_auc,True,0.24414764355541396,0.0,0.24414764355541396,0.24414764355541396,0.8138254785180465,0.0,0.8138254785180465,0.8138254785180465,1
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,average_precision,True,0.14062910669902032,0.0,0.14062910669902032,0.14062910669902032,0.46876368899673443,0.0,0.46876368899673443,0.46876368899673443,1
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,f1_macro,True,0.20625146448846682,0.0,0.20625146448846682,0.20625146448846682,0.6875048816282228,0.0,0.6875048816282228,0.6875048816282228,1
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,roc_auc,True,0.2435667766248784,0.0,0.2435667766248784,0.2435667766248784,0.8118892554162614,0.0,0.8118892554162614,0.8118892554162614,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,average_precision,False,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,False,0.19595529927795677,0.0,0.19595529927795677,0.19595529927795677,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,False,0.23438119901680854,0.0,0.23438119901680854,0.23438119901680854,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,average_precision,False,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,f1_macro,False,0.19595529927795677,0.0,0.19595529927795677,0.19595529927795677,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,roc_auc,False,0.23438119901680854,0.0,0.23438119901680854,0.23438119901680854,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,False,0.15684568457159193,0.0,0.15684568457159193,0.15684568457159193,0.5228189485719731,0.0,0.5228189485719731,0.5228189485719731,1
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,False,0.21008109122151303,0.0,0.21008109122151303,0.21008109122151303,0.7002703040717101,0.0,0.7002703040717101,0.7002703040717101,1
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,False,0.24962057640304294,0.0,0.24962057640304294,0.24962057640304294,0.8320685880101432,0.0,0.8320685880101432,0.8320685880101432,1
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,average_precision,False,0.16003354516763746,0.0,0.16003354516763746,0.16003354516763746,0.5334451505587916,0.0,0.5334451505587916,0.5334451505587916,1
